objectID,title,artist,department,objectDate,medium,image_path
625866,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625866.jpg
625867,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625867.jpg
625888,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625888.jpg
625898,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625898.jpg
625872,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625872.jpg
625897,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625897.jpg
625893,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625893.jpg
625865,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625865.jpg
625877,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625877.jpg
625886,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625886.jpg
625875,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625875.jpg
625884,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625884.jpg
625878,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625878.jpg
625882,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625882.jpg
625895,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625895.jpg
625871,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625871.jpg
625874,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625874.jpg
625914,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625914.jpg
625883,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625883.jpg
625869,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625869.jpg
625890,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625890.jpg
